scheduled_weekday,total_appointments,total_no_shows,no_show_rate,no_show_percent
Monday,23084,4561,0.197582741292671,19.7582741292671
Tuesday,26167,5290,0.202163029770323,20.2163029770323
Wednesday,24259,4876,0.20099756791293516,20.099756791293515
Thursday,18072,3699,0.20468127490039859,20.46812749003986
Friday,18915,3887,0.20549828178694354,20.549828178694355
Saturday,24,1,0.041666666666666664,4.166666666666666
