age_group,total_appointments,total_no_shows,no_show_rate,no_show_percent
Child,21035,4306,0.20470644164487972,20.47064416448797
Teen,6343,1690,0.2664354406432286,26.64354406432286
18-25,11218,2819,0.25129256551970014,25.129256551970013
26-34,13026,2993,0.22977122677721404,22.977122677721404
35-49,21864,4489,0.20531467252103816,20.531467252103816
50-64,22634,3785,0.16722629672174585,16.722629672174584
65+,14401,2232,0.15498923685855098,15.498923685855098
