appointment_weekday,total_appointments,total_no_shows,no_show_rate,no_show_percent
Monday,22713,4689,0.2064456478668601,20.644564786686008
Tuesday,25638,5150,0.20087370309696662,20.087370309696663
Wednesday,25866,5092,0.19686074383360042,19.68607438336004
Thursday,17246,3337,0.19349414356952313,19.349414356952312
Friday,19019,4037,0.21226142278773916,21.226142278773917
Saturday,39,9,0.23076923076923073,23.076923076923073
