threshold,accuracy,sens,spec,precision,f_meas
0.2,0.5741235014702556,0.8323997311225633,0.508785851944224,0.3000565382440837,0.44110662550463076
0.25,0.6574983035512327,0.6697288819179924,0.6544042625552658,0.3289676425269646,0.44121337368071445
0.3,0.72449672019905,0.4622451265964598,0.7908400408116993,0.3585955153832783,0.403876272513704
0.35,0.7691924903867903,0.26103517813130184,0.8977440199523864,0.3923880094307848,0.3135091496232508
0.4,0.7899570232978964,0.09881245798790052,0.9647999093073347,0.4152542372881356,0.15963800904977374
0.5,0.7980547387468898,0.003809097019941743,0.9989797075161546,0.4857142857142857,0.00755891507336594
