waiting_days_group,total_appointments,total_no_shows,no_show_rate,no_show_percent
Same day,38562,1792,0.046470618743840106,4.64706187438401
1 day,5213,1113,0.21350469978898848,21.350469978898847
2-3 days,9462,2246,0.23737053477066142,23.73705347706614
4-7 days,17510,4413,0.25202741290690933,25.202741290690934
8-14 days,12025,3664,0.30469854469854607,30.469854469854607
15-30 days,17371,5661,0.32588797420989496,32.58879742098949
31+ days,10378,3425,0.33002505299672386,33.002505299672386
